exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;BG;9.0;SB;176.0;;176-05-02;22.0;2.0;1033341034.0;1033341034.0
2023.0;PLF;BG;23.0;TA;113.0;113-01;;31.0;3.0;1882747.0;1940948.0
2023.0;PLF;BG;35.0;SA;204.0;204-16;;31.0;3.0;3210000.0;3210000.0
2023.0;PLF;BA;12.0;XJ;624.0;624-03;;23.0;2.0;20331415.0;20331415.0
2023.0;PLF;BG;70.0;DA;146.0;;146-08-46;51.0;5.0;0.0;149433.0
2023.0;PLF;BG;6.0;EC;230.0;230-05;;22.0;2.0;16546975.0;16546975.0
2023.0;PLF;BG;23.0;TA;217.0;217-27;;31.0;3.0;4168545.0;6729215.0
2023.0;PLF;BG;7.0;PB;541.0;541-01;;10.0;1.0;16847822.0;16847822.0
2023.0;PLF;BG;7.0;RA;192.0;192-02;;64.0;6.0;4884052.0;4884052.0
2023.0;PLF;BG;50.0;TR;368.0;368-03;;22.0;2.0;70300.0;70300.0
2023.0;PLF;CCF;7.0;ZD;845.0;845-01;;71.0;7.0;93629039.0;93629039.0
2023.0;PLF;BG;42.0;SF;219.0;219-04;;31.0;3.0;2512494.0;2512494.0
2023.0;PLF;BG;6.0;EC;141.0;141-09;;22.0;2.0;55874582.0;55874582.0
2023.0;PLF;BG;70.0;DA;144.0;144-08;;62.0;6.0;1300000.0;1300000.0
2023.0;PLF;BG;9.0;IA;104.0;104-12;;31.0;3.0;3000000.0;3000000.0
2023.0;PLF;BG;7.0;RD;201.0;;201-04-01;63.0;6.0;491985108.0;491985108.0
2023.0;PLF;BG;43.0;TA;345.0;;345-11-01;62.0;6.0;748150974.0;748150974.0
2023.0;PLF;BG;70.0;MB;169.0;;169-01-10;61.0;6.0;754845956.0;754845956.0
2023.0;PLF;BG;2.0;CB;131.0;131-01;;63.0;6.0;66240769.0;58165071.0
2023.0;PLF;BG;10.0;JA;166.0;166-02;;31.0;3.0;605311767.0;605311767.0
2023.0;PLF;BG;1.0;AA;185.0;185-02;;61.0;6.0;6687720.0;6687720.0
2023.0;PLF;BG;70.0;DA;212.0;;212-50-02;23.0;2.0;439641.0;439641.0
2023.0;PLF;BG;70.0;DA;178.0;;178-03-07;31.0;3.0;1553823374.0;2122445829.0
2023.0;PLF;BG;36.0;TB;103.0;;103-02-04;64.0;6.0;31315366.0;31732288.0
2023.0;PLF;BG;70.0;DA;212.0;;212-54-04;23.0;2.0;428387.0;428387.0
