PHASE;Type de Budget;Code Ministère;Ministère;Code Mission;Mission;Code Programme;Programme;T2 AE=CP  PLF 2019;ETPT PLF 2019
PLF 2019;Budget général;MIN44;Outre-mer;OA;Outre-mer;123;Conditions de vie outre-mer;;
PLF 2019;Budget général;MIN45;Cohésion des territoires;VA;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;;
PLF 2019;Budget général;MIN45;Cohésion des territoires;VA;Cohésion des territoires;109;Aide à l'accès au logement;;
PLF 2019;Budget général;MIN45;Cohésion des territoires;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;
PLF 2019;Budget général;MIN45;Cohésion des territoires;VA;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;19 932 626;265
PLF 2019;Budget général;MIN45;Cohésion des territoires;VA;Cohésion des territoires;147;Politique de la ville;19 419 002;299
PLF 2019;Budget général;MIN52;Sports;SF;Sport, jeunesse et vie associative;219;Sport;;
PLF 2019;Budget général;MIN52;Sports;SF;Sport, jeunesse et vie associative;350;Jeux olympiques et paralympiques 2024;;
PLF 2019;Budget général;MIN56;Solidarités et santé;SA;Santé;204;Prévention, sécurité sanitaire et offre de soins;1 442 239;
PLF 2019;Budget général;MIN56;Solidarités et santé;SA;Santé;183;Protection maladie;;
PLF 2019;Budget général;MIN56;Solidarités et santé;SE;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;1 947 603;
PLF 2019;Budget général;MIN56;Solidarités et santé;SE;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;719 018 224;9 524
PLF 2019;Budget général;MIN70;Armées;MB;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;;
PLF 2019;Budget général;MIN70;Armées;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;;
PLF 2019;Budget général;MIN70;Armées;DA;Défense;144;Environnement et prospective de la politique de défense;;
PLF 2019;Budget général;MIN70;Armées;DA;Défense;178;Préparation et emploi des forces;;
PLF 2019;Budget général;MIN70;Armées;DA;Défense;212;Soutien de la politique de la défense;20 551 944 766;274 595
PLF 2019;Budget général;MIN70;Armées;DA;Défense;146;Équipement des forces;;
PLF 2019;Budget général;MIN70;Armées;RA;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);;
