Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P123;0123-01-09;Lgt soc. démol-reconstr;Logement social - démolition-reconstruction;MOA Outre-mer;Hors Personnel;;;;21A2CZRQP4R;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P122;0122-01;AIDES EXCEPTIONNELLES CT;Aides exceptionnelles aux collectivités territoriales;MRC Relations avec les collectivités territoriales;Hors Personnel;;;;1ACT1000;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P103;0103-05;Aide except apprentis;Aide exceptionnelle apprentissage;MTB Travail et emploi;Hors Personnel;;;;1874NATCRI1;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P206;0206-02;Santé et prot des animaux;Santé et protection des animaux;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;1ACT1030;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-06-06;Autres mises en cause de;Autres mises en cause de l'Etat : contentieux;MAB Administration générale et territoriale de l'État;Hors Personnel;65.0;;;1NEX2603;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P310;0310-05;Dev Tech. Enq. Num. Judi.;Developpement des techniques d’enquetes numeriques judiciaires;MJA Justice;Mixte;;;;20OP8M6ZN1M;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P111;0111-04;Lutte contre le travail i;Lutte contre le travail illégal;MTB Travail et emploi;Hors Personnel;40.0;;;1ACT1128;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P155;0155-11;Communication;Communication;MTB Travail et emploi;Hors Personnel;13.0;;;1ACT4844;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P161;0161-12;moyens nationaux;Préparation et interventions spécialisées des moyens nationaux;MSB Sécurités;Mixte;;;;1ACT4526;
Dépenses_BG;2023.0;Action n'apparaissant PAS au PAP/RAP - T2 uniquement;BG;BG00;MIN38 Enseignement supérieur et recherche;P150;0150-99;Dépenses de personnel du;Dépenses de personnel du programme à reventiler;MRA Recherche et enseignement supérieur;Personnel;99.0;;;1NEX73;
