Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90106.0;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 2003;Finalité : Aider certains espaces géographiques (espaces urbains);;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150406.0;Exonération temporaire des plus-values de cession d'un droit de surélévation réalisées par les particuliers en vue de la réalisation par le cessionnaire de locaux destinés à l'habitation;Finalité : Développement et amélioration de l'offre de logement;;;;;;
Autres impôts directs;Impôt sur la fortune immobilière;Exonérations;440104.0;Exonération en faveur des petits porteurs détenant moins de 5% du capital ou des droits de vote d'une société d'investissements immobiliers cotée (SIIC);Finalité : Orienter l'épargne vers le capital des entreprises;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730231.0;Taux de 5,5 % applicable aux théâtres, cirques, concerts, spectacles de variété, sur les droits d’entrée dans les salles de cinéma et des parcs zoologiques;Finalité : Aider le secteur artistique (spectacles);;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Déductions;160302.0;Déduction forfaitaire de 3 % déclarée par les médecins conventionnés;Finalité : Inciter les médecins au conventionnement avec la sécurité sociale qui déclare les recettes des contribuables;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Régimes spéciaux d'imposition;230607.0;Exonération des bénéfices réalisés en France et des revenus de source française perçus par des organismes chargés de l'organisation en France d'une compétition sportive internationale et de leurs filiales, directement liés à l'organisation de la compétition sportive internationale.;Finalité : Soutenir le secteur sportif;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210329.0;Crédit d’impôt en faveur des entreprises agricoles qui n’utilisent pas de produits phytopharmaceutiques contenant la substance active du glyphosate au cours des années 2021 à 2023;;;;;;;
Accise sur les énergies;Gaz naturels;Tarifs réduits;830204.0;Tarif réduit (remboursement) pour les gaz naturels utilisés comme carburants ou combustibles pour les travaux agricoles et forestiers;Finalité : Aider le secteur agricole;;;;;;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100101.0;Déduction des versements effectués en vue de la retraite mutualiste du combattant;Finalité : Aider les anciens combattants;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140119.0;Exonération ou imposition réduite des produits attachés aux bons ou contrats de capitalisation et d'assurance-vie;Finalité : Orienter l'épargne vers des produits de moyen-long terme;;;;;;
