Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Comptes d'affectation spéciale;YL;Aides à l'acquisition de véhicules propres;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;1;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;61;Transferts aux ménages;264 000 000;264 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YL;Aides à l'acquisition de véhicules propres;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;1;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;61;Transferts aux ménages;306 000 000;306 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YM;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;1;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;;;64;Transferts aux autres collectivités;0;7 700 000;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes d'affectation spéciale;YM;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;2;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;;;64;Transferts aux autres collectivités;118 000 000;118 000 000;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes d'affectation spéciale;YM;Participation de la France au désendettement de la Grèce;796;Rétrocessions de trop-perçus à la Banque de France;1;Rétrocessions de trop-perçus à la Banque de France;;;73;Dépenses de participations financières;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes d'affectation spéciale;YN;Transition énergétique;764;Soutien à la transition énergétique;1;Soutien aux énergies renouvelables électriques;;;62;Transferts aux entreprises;5 261 909 997;5 261 909 997;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YN;Transition énergétique;764;Soutien à la transition énergétique;2;Soutien à l'effacement de consommation électrique;;;62;Transferts aux entreprises;45 000 000;45 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YN;Transition énergétique;764;Soutien à la transition énergétique;3;Soutien à l'injection de bio-méthane;;;62;Transferts aux entreprises;132 090 003;132 090 003;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YN;Transition énergétique;764;Soutien à la transition énergétique;4;Fonds d'interconnexion;;;64;Transferts aux autres collectivités;1 400 000;1 400 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YN;Transition énergétique;765;Engagements financiers liés à la transition énergétique;1;Désendettement vis-à-vis des opérateurs supportant des charges de service public de l'électricité;;;62;Transferts aux entreprises;1 839 000 000;1 839 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YN;Transition énergétique;765;Engagements financiers liés à la transition énergétique;3;Remboursement d'anciens plafonnements de CSPE;;;62;Transferts aux entreprises;0;0;6;Dépenses d’intervention;23;Transition écologique et solidaire
