;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110244;Réduction d'impôt au titre des souscriptions en numéraire, réalisées entre le 1er janvier 2006 et le 31 décembre 2020, au capital de sociétés anonymes agréées ayant pour seule activité le financement d’oeuvres cinématographiques ou audiovisuelles;Finalité : Aider le secteur audiovisuel (production)
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110245;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP) investis dans les entreprises corses;Finalité : Orienter l'épargne vers le capital des PME d’un territoire donné
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110246;Crédit d'impôt au titre de l'emploi d'un salarié à domicile;Finalité : Développer les emplois de service à la personne
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110247;Crédit d'impôt sur le revenu au titre des intérêts d'emprunt supportés à raison de l'acquisition ou de la construction de l'habitation principale;Finalité : Aider à l'acquisition de son logement
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110248;Réduction d'impôt sur le revenu au titre des travaux de conservation ou de restauration d'objets mobiliers classés monuments historiques;Finalité : Aider les propriétaires à protéger le patrimoine culturel privé
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110249;Réduction d’impôt sur le revenu au titre des dépenses de restauration d’immeubles bâtis situés dans les sites patrimoniaux remarquables (SPR), les quartiers anciens dégradés, et les quartiers du Nouveau programme national de renouvellement urbain (NPNRU) : Nouveau dispositif Malraux;Finalité : Aider les propriétaires à protéger le patrimoine culturel privé
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110250;Réduction d'impôt sur le revenu au titre des investissements locatifs réalisés dans le secteur de la location meublée non professionnelle;Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110251;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110252;Réduction d'impôt sur le revenu majorée en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans le secteur intermédiaire dans les zones présentant un déséquilibre entre l'offre et la demande de logements accompagnée d'une déduction spécifique sur les revenus tirés de ces logements (sous conditions de loyer plus strictes et conditions de ressources du locataire) : Dispositif SCELLIER intermédiaire;Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110256;Réduction d'impôt au titre des investissements effectués dans le secteur du logement social dans les départements et collectivités d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
