Année;Type de recettes;Code Ligne Recettes;Libellé;Montant Recettes PLF;Montant Recettes LFI
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3130.0;Dotation de compensation de la réforme de la taxe sur les logements vacants pour les communes et les établissements publics de coopération intercommunale percevant la taxe d'habitation sur les logements vacants;4000000.0;4000000.0
2024.0;Recettes non fiscales;2601.0;Reversements de Natixis;20000000.0;20000000.0
2024.0;Recettes fiscales;1797.0;Taxe sur les transactions financières;1200000000.0;1200000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3137.0;Prélèvement sur les recettes de l'État au profit des régions au titre de la neutralisation financière de la réforme de l'apprentissage;122559085.0;122559085.0
2024.0;Recettes fiscales;1721.0;Timbre unique;499000000.0;499000000.0
2024.0;Recettes fiscales;1752.0;Contribution sur la rente infra-marginale de la production d'électricité;620000000.0;620000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3133.0;Fonds de compensation des nuisances aéroportuaires;6822000.0;6822000.0
2024.0;Recettes fiscales;1755.0;Amendes et confiscations;48000000.0;48000000.0
2024.0;Recettes fiscales;1601.0;Taxe sur la valeur ajoutée;183857035556.0;183857035556.0
2024.0;Recettes fiscales;1773.0;Taxe sur les achats de viande;0.0;0.0
2024.0;Recettes non fiscales;2399.0;Autres recettes diverses;1608000000.0;1608000000.0
2024.0;Recettes non fiscales;2624.0;Intérêts divers (hors immobilisations financières);29870000.0;29870000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3122.0;Dotation de compensation de la réforme de la taxe professionnelle (communes);239658133.0;239658133.0
2024.0;Recettes fiscales;1777.0;Taxe sur certaines dépenses de publicité;17000000.0;17000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3158.0;Prélèvement sur les recettes de l’État au titre du soutien exceptionnel, au titre de l’année 2023, pour les collectivités territoriales face à la croissance des prix de l’énergie;400000000.0;400000000.0
2024.0;Recettes non fiscales;2499.0;Autres remboursements d'avances, de prêts et d'autres créances immobilisées;365200000.0;365200000.0
2024.0;Recettes fiscales;1754.0;Autres droits et recettes accessoires;5000000.0;5000000.0
