Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-07;Personnels civils : retenues pour pensions : primes et indemnités ouvrant droit à pension;321429130.0;321429130.0;324007291.0;326537285.0
Recettes CAS;2024.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-01;Produit des cessions, par l'État, de titres, parts ou droits de sociétés détenus directement;45000000.0;45000000.0;45000000.0;45000000.0
Recettes CAS;2024.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-74;Recettes diverses;6906432.0;6906432.0;4606432.0;4406432.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-54;Personnels militaires : contributions des employeurs : agents détachés dans les collectivités et établissements publics locaux sur un emploi conduisant à pension;7806017.0;7806017.0;7806017.0;7806017.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-41;Personnels militaires : retenues pour pensions : agents propres de l'État et agents détachés dans une administration de l'État sur un emploi conduisant à pension;1011687440.0;1011687440.0;1024275960.0;1029799026.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-53;Personnels militaires : contributions des employeurs : agents propres des établissements publics et agents détachés en établissement public sur un emploi conduisant à pension;19833177.0;19833177.0;19833177.0;19833177.0
Recettes CCF;2024.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-01;Remboursement des avances octroyées au titre du préfinancement des aides communautaires de la politique agricole commune;10000000000.0;10000000000.0;10000000000.0;10000000000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-43;Personnels militaires : retenues pour pensions : agents propres des établissements publics et agents détachés en établissement public sur un emploi conduisant à pension;2907074.0;2907074.0;2943247.0;2959118.0
Recettes CAS;2024.0;Gestion du patrimoine immobilier de l'État;YB-1;Gestion du patrimoine immobilier de l'État;YB-1-02;Produits de redevances domaniales;110000000.0;110000000.0;110000000.0;110000000.0
Recettes CCF;2024.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-06;Remboursement des prêts octroyés aux exploitants d'aéroports touchés par la crise de covid-19 au titre des dépenses de sûreté-sécurité;78530630.0;78530630.0;78466599.0;99880191.0
Recettes CCF;2024.0;Avances aux collectivités territoriales;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-09;Taxe d’habitation et taxes annexes;3755183795.0;3755183795.0;3755183795.0;3755183795.0
